"mun_nome","mun_uf","lon","lat"
"Tianguá","CE","-40.992286","-3.729645"
"Tejuçuoca","CE","-39.579866","-3.988307"
"Tururu","CE","-39.429656","-3.584132"
"Trairi","CE","-39.268126","-3.269323"
"Tamboril","CE","-40.319593","-4.831364"
"Tabuleiro do Norte","CE","-38.128175","-5.243527"
"Tauá","CE","-40.296802","-5.985853"
"Tarrafas","CE","-39.753048","-6.678376"
"Senador Sá","CE","-40.466222","-3.353055"
"Senador Pompeu","CE","-39.370369","-5.582444"
"Solonópole","CE","-39.010722","-5.718936"
"Sobral","CE","-40.348211","-3.689133"
"São Gonçalo do Amarante","CE","-38.972646","-3.605149"
"São Benedito","CE","-40.859572","-4.047131"
"São Luís do Curu","CE","-39.239123","-3.669766"
"São João do Jaguaribe","CE","-38.269366","-5.275164"
"Santana do Acaraú","CE","-40.211827","-3.461435"
"Salitre","CE","-40.450013","-7.283988"
"Santa Quitéria","CE","-40.152305","-4.326081"
"Santana do Cariri","CE","-39.730161","-7.176125"
"Reriutaba","CE","-40.575915","-4.141911"
"Redenção","CE","-38.727719","-4.215873"
"Saboeiro","CE","-39.901733","-6.534595"
"Russas","CE","-37.972086","-4.926727"
"Quixelô","CE","-39.201067","-6.246369"
"Quixadá","CE","-39.015474","-4.966301"
"Quixeré","CE","-37.980222","-5.071488"
"Quixeramobim","CE","-39.288947","-5.190672"
"Potengi","CE","-40.023292","-7.091544"
"Porteiras","CE","-39.114028","-7.522647"
"Quiterianópolis","CE","-40.700217","-5.842496"
"Potiretama","CE","-38.157804","-5.712877"
"Iguatu","CE","-39.289155","-6.362806"
"Juazeiro do Norte","CE","-39.307593","-7.196207"
"Jijoca de Jericoacoara","CE","-40.512742","-2.793312"
"Barroquinha","CE","-41.135855","-3.020514"
"Meruoca","CE","-40.453106","-3.539741"
"Barbalha","CE","-39.302080","-7.298203"
"Aratuba","CE","-39.047117","-4.412291"
"Abaiara","CE","-39.041599","-7.345879"
"Carnaubal","CE","-40.941304","-4.159846"
"General Sampaio","CE","-39.453958","-4.043507"
"Paraipaba","CE","-39.147868","-3.437987"
"Araripe","CE","-40.135894","-7.213195"
"Aquiraz","CE","-38.389563","-3.899293"
"Ererê","CE","-38.346113","-6.027508"
"Pacatuba","CE","-38.618296","-3.978396"
"Pacujá","CE","-40.698885","-3.983272"
"Jaguaruana","CE","-37.780997","-4.831508"
"Varjota","CE","-40.474083","-4.193871"
